Cle,CoApplicantName-NomCoApplicant,CoAppOrganizationID,CoAppInstitution-…tablissement,ProvinceEN,ProvinceFR,CountryEN,CountryFR,FiscalYear-Exercice financier
490712,"Baron, Luc",64,…cole Polytechnique de MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2011
490712,"Chen, Zezhong",70,Concordia University,QuÈbec,QuÈbec,CANADA,CANADA,2011
487805,"Chen, Zezhong",70,Concordia University,QuÈbec,QuÈbec,CANADA,CANADA,2011
487805,"Chatelain, Jean-FranÁois",53,…cole de technologie supÈrieure,QuÈbec,QuÈbec,CANADA,CANADA,2011
490712,"Chatelain, Jean-FranÁois",53,…cole de technologie supÈrieure,QuÈbec,QuÈbec,CANADA,CANADA,2011
495882,"Foster, Leonard",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
491518,"Patel, Hiren D.",33,University of Waterloo,Ontario,Ontario,CANADA,CANADA,2011
491518,"Garg, Siddharth",33,University of Waterloo,Ontario,Ontario,CANADA,CANADA,2011
491518,"Sundaram, Shreyas",33,University of Waterloo,Ontario,Ontario,CANADA,CANADA,2011
483407,"Dower, John",7,University of Victoria,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
483407,"Trudel, Marc",7,University of Victoria,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
488921,"Neumann, Norman",9,University of Alberta,Alberta,Alberta,CANADA,CANADA,2011
488921,"Bouferguene, Ahmed",9,University of Alberta,Alberta,Alberta,CANADA,CANADA,2011
495800,"Wood, Christopher",27,McMaster University,Ontario,Ontario,CANADA,CANADA,2011
495800,"Nurse, Colin",27,McMaster University,Ontario,Ontario,CANADA,CANADA,2011
495800,"Scott, Graham",27,McMaster University,Ontario,Ontario,CANADA,CANADA,2011
495800,"O'Donnell, Michael",27,McMaster University,Ontario,Ontario,CANADA,CANADA,2011
495800,"Wilson, Joanna",27,McMaster University,Ontario,Ontario,CANADA,CANADA,2011
487505,"Proulx, Jean",68,UniversitÈ de Sherbrooke,QuÈbec,QuÈbec,CANADA,CANADA,2011
487505,"Ventura, Carlos",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
487505,"Nollet, Marie-JosÈ",53,…cole de technologie supÈrieure,QuÈbec,QuÈbec,CANADA,CANADA,2011
495796,"Dekoter, Rodney",36,University of Western Ontario,Ontario,Ontario,CANADA,CANADA,2011
495796,"Mcgavin, Martin",36,University of Western Ontario,Ontario,Ontario,CANADA,CANADA,2011
495796,"Heit, Bryan",36,University of Western Ontario,Ontario,Ontario,CANADA,CANADA,2011
495796,"Kim, Sung Ouk",36,University of Western Ontario,Ontario,Ontario,CANADA,CANADA,2011
495796,"Valvano, Miguel",36,University of Western Ontario,Ontario,Ontario,CANADA,CANADA,2011
495796,"Barr, Stephen",36,University of Western Ontario,Ontario,Ontario,CANADA,CANADA,2011
495796,"Heinrichs, David",36,University of Western Ontario,Ontario,Ontario,CANADA,CANADA,2011
495796,"Creuzenet, Carole",36,University of Western Ontario,Ontario,Ontario,CANADA,CANADA,2011
487896,"Boutin, Stanley",9,University of Alberta,Alberta,Alberta,CANADA,CANADA,2011
487896,"Castilla, Guillermo",11,University of Calgary,Alberta,Alberta,CANADA,CANADA,2011
496574,"Okine, Erasmus",9,University of Alberta,Alberta,Alberta,CANADA,CANADA,2011
482084,"Levina, Tatsiana",29,Queen's University,Ontario,Ontario,CANADA,CANADA,2011
482084,"Nediak, Mikhail",29,Queen's University,Ontario,Ontario,CANADA,CANADA,2011
476156,"Hearty, Christopher",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
486094,"Barati, Mansoor",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
486076,"Friesen, Marcia",19,University of Manitoba,Manitoba,Manitoba,CANADA,CANADA,2011
487319,"Goh, M. Cynthia",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
487319,"Miller, R.J. Dwayne",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
483103,"Trischuk, William",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
483103,"Teuscher, Richard",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
483103,"Leroy, Claude",63,UniversitÈ de MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2011
483103,"Savard, Pierre",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
483103,"Martin, Jean-Pierre",63,UniversitÈ de MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2011
483103,"Bailey, David",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
483103,"Orr, Robert",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
483103,"Krieger, Peter",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
483103,"Sinervo, Pekka",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
476344,"Savard, Pierre",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
476344,"Krieger, Peter",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
476344,"Martin, Jean-Pierre",63,UniversitÈ de MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2011
476344,"Teuscher, Richard",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
476344,"Sinervo, Pekka",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2011
