Cle,CoApplicantName-NomCoApplicant,CoAppOrganizationID,CoAppInstitution-…tablissement,ProvinceEN,ProvinceFR,CountryEN,CountryFR,FiscalYear-Exercice financier
515506,"Abdelrahman, Tarek",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2012
515506,"Moshovos, Andreas",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2012
512036,"Evans, Greg",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2012
512036,"Murphy, Jennifer",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2012
512036,"Jia, Charles",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2012
512036,"Fletcher, Christopher",33,University of Waterloo,Ontario,Ontario,CANADA,CANADA,2012
512036,"O'Neill, Norm",68,UniversitÈ de Sherbrooke,QuÈbec,QuÈbec,CANADA,CANADA,2012
512036,"Bertram, Allan",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2012
512036,"Norman, Ann-Lise",11,University of Calgary,Alberta,Alberta,CANADA,CANADA,2012
512036,"Martin, Randall",79,Dalhousie University,Nova Scotia,Nouvelle-…cosse,CANADA,CANADA,2012
512036,"Levasseur, Maurice",51,UniversitÈ Laval,QuÈbec,QuÈbec,CANADA,CANADA,2012
512036,"Steiner, Nadja",7,University of Victoria,British Columbia,Colombie-Britannique,CANADA,CANADA,2012
512036,"Gosselin, Michel",58,UniversitÈ du QuÈbec ‡ Rimouski,QuÈbec,QuÈbec,CANADA,CANADA,2012
512036,"Von Salzen, Knut",7,University of Victoria,British Columbia,Colombie-Britannique,CANADA,CANADA,2012
512036,"Blanchet, Jean-Pierre",57,UniversitÈ du QuÈbec ‡ MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2012
512036,"Girard, Eric",57,UniversitÈ du QuÈbec ‡ MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2012
498942,"Mehta, Sudarshan",11,University of Calgary,Alberta,Alberta,CANADA,CANADA,2012
498942,"Heidemann, Robert",11,University of Calgary,Alberta,Alberta,CANADA,CANADA,2012
498942,"Moore, Gordon",11,University of Calgary,Alberta,Alberta,CANADA,CANADA,2012
498942,"Maini, Brij",11,University of Calgary,Alberta,Alberta,CANADA,CANADA,2012
498942,"Hassanzadeh, Hassan",11,University of Calgary,Alberta,Alberta,CANADA,CANADA,2012
503855,"Mousavi, Parvin",29,Queen's University,Ontario,Ontario,CANADA,CANADA,2012
503855,"Rohling, Robert",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2012
503855,"Wilson, David",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2012
503855,"Pichora, David",29,Queen's University,Ontario,Ontario,CANADA,CANADA,2012
507243,"Wright, Shelley",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2012
507243,"Martin, Peter",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2012
