Cle,CoApplicantName-NomCoApplicant,CoAppOrganizationID,CoAppInstitution-…tablissement,ProvinceEN,ProvinceFR,CountryEN,CountryFR,FiscalYear-Exercice financier
468124,"Abdelrahman, Tarek",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2010
468124,"Moshovos, Andreas",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2010
466904,"ElSaadany, Ehab",33,University of Waterloo,Ontario,Ontario,CANADA,CANADA,2010
466904,"Mansour, Raafat",33,University of Waterloo,Ontario,Ontario,CANADA,CANADA,2010
463980,"Hassanzadeh, Hassan",11,University of Calgary,Alberta,Alberta,CANADA,CANADA,2010
463980,"Heidemann, Robert",11,University of Calgary,Alberta,Alberta,CANADA,CANADA,2010
463980,"Maini, Brij",11,University of Calgary,Alberta,Alberta,CANADA,CANADA,2010
463980,"Mehta, Sudarshan",11,University of Calgary,Alberta,Alberta,CANADA,CANADA,2010
463980,"Moore, Gordon",11,University of Calgary,Alberta,Alberta,CANADA,CANADA,2010
463271,"Fenster, Aaron",36,University of Western Ontario,Ontario,Ontario,CANADA,CANADA,2010
463271,"Fichtinger, Gabor",29,Queen's University,Ontario,Ontario,CANADA,CANADA,2010
463271,"Mousavi, Parvin",29,Queen's University,Ontario,Ontario,CANADA,CANADA,2010
463271,"Rohling, Robert",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
463271,"Salcudean, Septimiu(Tim)",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
458201,"AlHussein, Mohamed",9,University of Alberta,Alberta,Alberta,CANADA,CANADA,2010
458201,"Lee, SangHyun",9,University of Alberta,Alberta,Alberta,CANADA,CANADA,2010
458201,"Mohamed, Yasser",9,University of Alberta,Alberta,Alberta,CANADA,CANADA,2010
460903,"Jackson, Donald",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2010
460903,"Lester, Nigel",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2010
460903,"Minns, Charles(Ken)",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2010
460903,"Shuter, Brian",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2010
460903,"McCann, Kevin",24,University of Guelph,Ontario,Ontario,CANADA,CANADA,2010
461325,"Langford, Cooper",11,University of Calgary,Alberta,Alberta,CANADA,CANADA,2010
463081,"Langford, Cooper",11,University of Calgary,Alberta,Alberta,CANADA,CANADA,2010
472678,"Linton, Colan",75,University of New Brunswick,New Brunswick,Nouveau-Brunswick,CANADA,CANADA,2010
472678,"Tokaryk, Dennis",75,University of New Brunswick,New Brunswick,Nouveau-Brunswick,CANADA,CANADA,2010
461168,"Orvig, Chris",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
458708,"Cunningham, Clifton",11,University of Calgary,Alberta,Alberta,CANADA,CANADA,2010
458708,"Doran, Charles",9,University of Alberta,Alberta,Alberta,CANADA,CANADA,2010
458708,"Homsy, George(Bud)",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
458708,"Lewis, Mark",9,University of Alberta,Alberta,Alberta,CANADA,CANADA,2010
458708,"Perkins, Edwin",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
458708,"Stanley, Donald",17,University of Regina,Saskatchewan,Saskatchewan,CANADA,CANADA,2010
458708,"Putnam, Ian",7,University of Victoria,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
458708,"Russell, Robert",5,Simon Fraser University,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
458708,"Ruuth, Steven",5,Simon Fraser University,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
458708,"Srinivasan, Rengarajan(Raj)",16,University of Saskatchewan,Saskatchewan,Saskatchewan,CANADA,CANADA,2010
460990,"Berthiaume, Yves",63,UniversitÈ de MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2010
460990,"Gagnon, HervÈ",64,…cole Polytechnique de MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2010
460990,"Guardo, Robert",64,…cole Polytechnique de MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2010
460990,"Jouvet, Philippe",63,UniversitÈ de MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2010
460990,"Chan, Adrian",23,Carleton University,Ontario,Ontario,CANADA,CANADA,2010
460915,"Botton, Gianluigi",27,McMaster University,Ontario,Ontario,CANADA,CANADA,2010
460915,"Kitai, Adrian",27,McMaster University,Ontario,Ontario,CANADA,CANADA,2010
460915,"LaPierre, Raymond",27,McMaster University,Ontario,Ontario,CANADA,CANADA,2010
460915,"Zhitomirsky, Igor",27,McMaster University,Ontario,Ontario,CANADA,CANADA,2010
471263,"Eckford, Andrew",38,York University,Ontario,Ontario,CANADA,CANADA,2010
472646,"Bijl, Janetta",63,UniversitÈ de MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2010
472646,"Drobetsky, Elliot",63,UniversitÈ de MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2010
472646,"Labrecque, Nathalie",63,UniversitÈ de MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2010
472646,"Lesage, Sylvie",63,UniversitÈ de MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2010
472848,"Mandal, Sanat",22153,College of the North Atlantic,Newfoundland and Labrador,Terre-Neuve-et-Labrador,CANADA,CANADA,2010
461113,"James, Daniel",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2010
461113,"Kherani, Nazir",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2010
461113,"Mojahedi, Mohammad",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2010
461113,"Ruda, Harry",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2010
461113,"Walker, Gilbert",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2010
460944,"Azana, Jose",56,Institut national de la recherche scientifique,QuÈbec,QuÈbec,CANADA,CANADA,2010
460944,"Morandotti, Roberto",56,Institut national de la recherche scientifique,QuÈbec,QuÈbec,CANADA,CANADA,2010
471170,"Nabki, Frederic",57,UniversitÈ du QuÈbec ‡ MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2010
467390,"DeCrescenzo, Gregory",64,…cole Polytechnique de MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2010
467390,"Dubois, Charles",64,…cole Polytechnique de MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2010
467390,"Jolicoeur, Mario",64,…cole Polytechnique de MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2010
464017,"Hall, Jeremy",89,Memorial University of Newfoundland,Newfoundland and Labrador,Terre-Neuve-et-Labrador,CANADA,CANADA,2010
468651,"Tesfamariam, Solomon",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
462070,"Asselin, Edouard",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
462070,"MÈrida, Walter",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
462070,"Rogak, Steven",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
462950,"Asselin, Edouard",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
462909,"Asselin, Edouard",2,University of British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
464069,"Blatz, James",19,University of Manitoba,Manitoba,Manitoba,CANADA,CANADA,2010
458202,"Cheng, Roger",9,University of Alberta,Alberta,Alberta,CANADA,CANADA,2010
463177,"Acosta, Edgar",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2010
463177,"Aitchison, Stewart",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2010
463177,"Diosady, Levente",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2010
463177,"Espie, George",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2010
462994,"Balazinski, Marek",64,…cole Polytechnique de MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2010
462994,"Benhabib, Bensiyon(Beno)",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2010
462994,"BenMrad, Ridha",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2010
462994,"Mayer, RenÈ",64,…cole Polytechnique de MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2010
462994,"Mills, James",31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2010
