"ID","MK-ID","community","count","inCore","info","betweenness"
"Boyack Kw, 2010, J AM SOC INF SCI TEC","WOS:000284231100002",7,31,True,"WOS:000284231100002, Boyack Kevin W., Co-Citation Analysis Bibliographic Coupling and Direct Citation: Which Citation Approach Represents the Research Front Most Accurately?, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 61, 2389",0.017
"Cuxac P, 2013, SCIENTOMETRICS","WOS:000324275600005",1,1,True,"WOS:000324275600005, Cuxac Pascal, Efficient supervised and semi-supervised approaches for affiliations disambiguation, SCIENTOMETRICS, 97, 47",0.0
"Baccini A, 2012, J INFORMETR","WOS:000308581700031",9,3,True,"WOS:000308581700031, Baccini A., Statistical inference on the h-index with an application to top-scientist performance, JOURNAL OF INFORMETRICS, 6, 721",0.0
"Mishra V, 2013, SCIENTOMETRICS","WOS:000321852600002",9,3,True,"WOS:000321852600002, Mishra Vinod, Are more senior academics really more research productive than junior academics? Evidence from Australian law schools, SCIENTOMETRICS, 96, 411",0.0
"Nishy P, 2012, SCIENTOMETRICS","WOS:000301188500017",6,1,True,"WOS:000301188500017, Nishy P., An impact-citations-exergy (iCX) trajectory analysis of leading research institutions in India, SCIENTOMETRICS, 91, 245",0.0
"Tao Tz, 2012, SCIENTOMETRICS","WOS:000303533600023",5,4,True,"WOS:000303533600023, Tao Tianzhu, Equal contributions and credit given to authors in anesthesiology journals during a 10-year period, SCIENTOMETRICS, 91, 1005",0.0
"Efron M, 2011, J AM SOC INF SCI TEC","WOS:000291122800001",8,2,True,"WOS:000291122800001, Efron Miles, Information Search and Retrieval in Microblogs, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 62, 996",0.0
"Moya-Anegon F, 2013, SCIENTOMETRICS","WOS:000325475300015",1,2,True,"WOS:000325475300015, Moya-Anegon Felix, The research guarantors of scientific papers and the output counting: a promising new approach, SCIENTOMETRICS, 97, 421",0.0
"He B, 2011, J AM SOC INF SCI TEC","WOS:000289486100003",7,5,True,"WOS:000289486100003, He Bing, Mining Enriched Contextual Information of Scientific Collaboration: A Meso Perspective, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 62, 831",0.0
"Mahbuba D, 2010, SCIENTOMETRICS","WOS:000278695500012",2,4,True,"WOS:000278695500012, Mahbuba Dilruba, Scientific research in the Indian subcontinent: selected trends and indicators 1973-2007 comparing Bangladesh Pakistan and Sri Lanka with India the local giant, SCIENTOMETRICS, 84, 403",0.0
"Zhao Ry, 2011, SCIENTOMETRICS","WOS:000286627500004",18,5,True,"WOS:000286627500004, Zhao Rongying, Visualizing the research on pervasive and ubiquitous computing, SCIENTOMETRICS, 86, 593",0.0
"Abramo G, 2012, SCIENTOMETRICS","WOS:000310964500026",9,11,True,"WOS:000310964500026, Abramo Giovanni, What is the appropriate length of the publication period over which to assess research performance?, SCIENTOMETRICS, 93, 1005",0.001
"Sugimoto Cr, 2012, J AM SOC INF SCI TEC","WOS:000301038300002",1,1,True,"WOS:000301038300002, Sugimoto Cassidy R., Biobibliometric Profiling: An Examination of Multifaceted Approaches to Scholarship, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 63, 450",0.0
"Ribeiro Lc, 2010, SCIENTOMETRICS","WOS:000275417400004",13,6,True,"WOS:000275417400004, Ribeiro Leonardo Costa, Matrices of science and technology interactions and patterns of structured growth: implications for development, SCIENTOMETRICS, 83, 55",0.0
"Zhang G, 2013, J AM SOC INF SCI TEC","WOS:000323389100016",10,3,True,"WOS:000323389100016, Zhang Guo, Citation Content Analysis (CCA): A Framework for Syntactic and Semantic Analysis of Citation Content, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 64, 1490",0.0
"Mikki S, 2010, SCIENTOMETRICS","WOS:000274111600008",11,4,True,"WOS:000274111600008, Mikki Susanne, Comparing Google Scholar and ISI Web of Science for Earth Sciences, SCIENTOMETRICS, 82, 321",0.0
"Zhao Dz, 2011, SCIENTOMETRICS","WOS:000287665900009",7,4,True,"WOS:000287665900009, Zhao Dangzhi, Intellectual structure of stem cell research: a comprehensive author co-citation analysis of a highly collaborative and multidisciplinary field, SCIENTOMETRICS, 87, 115",0.0
"Kumar S, 2013, SCIENTOMETRICS","WOS:000327219900001",7,2,True,"WOS:000327219900001, Kumar Sameer, Mapping research collaborations in the business and management field in Malaysia 1980-2010, SCIENTOMETRICS, 97, 491",0.0
